Settlement ,Pleiades URI,DARE,Vici URI (Map linking) ,Topostext,Latitude,Longitude,Comments
El Laderón ,https://pleiades.stoa.org/places/265945,http://dare.ht.lu.se/places/26923.html,https://vici.org/vici/15740/,,3.754.094,-4.373.006,
El Tajo,https://pleiades.stoa.org/places/256135,http://dare.ht.lu.se/places/31253.html,https://vici.org/vici/15749/,,36.983.372,-488.178,
Epora,https://pleiades.stoa.org/places/265893,http://dare.ht.lu.se/places/25130.html,https://vici.org/vici/3743/,,38.026.033,-4.381.896,
Fodina Aerariae (Fodinae),https://pleiades.stoa.org/places/256170,http://dare.ht.lu.se/places/22430.html,,,37.693.899,-6.591.867,
Fornacis ,https://pleiades.stoa.org/places/256362,,,,38.507.411,-6.180.009,
Fraxinum,https://pleiades.stoa.org/places/265900,http://dare.ht.lu.se/places/26914.html,https://vici.org/vici/3746/,,37.727.146,-3.047.757,
Fuente Alamo,,http://dare.ht.lu.se/places/40005.html,https://vici.org/vici/45525/,,37.417.645,-4.725.476,No info Pleiades
Gades,https://pleiades.stoa.org/places/256177,http://dare.ht.lu.se/places/22428.html,https://vici.org/vici/3666/,,3.652.898.544,-629.361.434,
Gaditanus Portus,https://pleiades.stoa.org/places/255955,http://dare.ht.lu.se/places/22602,http://vici.org/vici/15336,,36.596.953,-62.275.256,
Hispalis,https://pleiades.stoa.org/places/256210,http://dare.ht.lu.se/places/16679.html,https://vici.org/vici/3671/,,37.382.668,-5.996.293,
Igabrum,https://pleiades.stoa.org/places/265919,http://dare.ht.lu.se/places/16844.html,https://vici.org/vici/15267/,,37.474.155,-4.425.943,
Iliberri,https://pleiades.stoa.org/places/265921,http://dare.ht.lu.se/places/16831.html,https://vici.org/vici/12685/,,37.176.484,-3.597.934,
Ilipa Magna,https://pleiades.stoa.org/places/256222,http://dare.ht.lu.se/places/31264.html,https://vici.org/vici/3664/,,37.518.215,-5.978.254,
Ilipoula/ Ilipla ,https://pleiades.stoa.org/places/256221,http://dare.ht.lu.se/places/16835.html,https://vici.org/vici/10815/,,37.360.102,-6.679.208,
Ilipula Minor ,https://pleiades.stoa.org/places/256224,http://dare.ht.lu.se/places/31265.html,https://vici.org/vici/3686/,,37.147.602,-5.010.418,
Iliturgi,https://pleiades.stoa.org/places/265924,http://dare.ht.lu.se/places/22232.html,https://vici.org/vici/3742/,,37.968.343,-380.883,
Iliturgicola ,https://pleiades.stoa.org/places/265925,http://dare.ht.lu.se/places/25134.html,https://vici.org/vici/15726/,,37.511.643,-4.148.005,
Ilse,no info,,,,,,
Ilurco,https://pleiades.stoa.org/places/265930,http://dare.ht.lu.se/places/22441.html,https://vici.org/vici/15301/,http://topostext.org/place/373000UIlu,37.267.154,-3.767.231,
Iluro,https://pleiades.stoa.org/places/256225,http://dare.ht.lu.se/places/25199.html,https://vici.org/vici/16014/,,415.385.115,24.465.655,
Ipagrum,https://pleiades.stoa.org/places/256226,http://dare.ht.lu.se/places/16907.html,https://vici.org/vici/3691/,https://topostext.org/place/375000UIpa,375.178.095,-4.658.228,
Ipolcobulcola,https://pleiades.stoa.org/places/265935,http://dare.ht.lu.se/places/25136.html,https://vici.org/vici/16009/,,375.178.095,-4.658.228,
Iponoba (Iponuba) ,https://pleiades.stoa.org/places/265936,http://dare.ht.lu.se/places/26921,http://vici.org/vici/15739,,37.614.678,-4.326.706,
Iporca,https://pleiades.stoa.org/places/256227,http://dare.ht.lu.se/places/31266.html,https://vici.org/vici/15753/,,37.747.647,-5.639.549,
